County,naics_desc,naics_code,2023 Jobs,2023 Total Retail,2023 4% Retail,2023 Lodging,2023 General Purpose Sales,2023 General Purpose Use,2023 Specific Purpose Sales,2023 Specific Purpose Use,Resort District Sales,Resort Disctrict Use,Economic Development Sales,Economic Development Use,State Sales,State Use,Lodging Assessment,Total
Big Horn,USED MERCHANDISE STORES,4533,,"27,676","22,088",,"5,588.00",,,,,,,,"22,088.00",,,"27,676.00"
Big Horn,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"171,722","137,034",,"34,688.00",264,,,,,,,"137,034.00","1,045.00",,"173,031.00"
Big Horn,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"1,409,697","1,126,378",,"283,318.00","3,995.00",,,,,,,"1,126,378.00","15,742.00",,"1,429,434.00"
Big Horn,VENDING MACHINE OPERATORS,4542,,"1,693","1,350",148,343,,,,,,,,"1,350.00",,147,"1,988.00"
Big Horn,DIRECT SELLING ESTABLISHMENTS,4543,,"77,433","61,854",,"15,580.00","1,182.00",,,,,,,"61,854.00","4,604.00",,"83,219.00"
Big Horn,TRAVELER ACCOMMODATION,7211,81.75658,"264,398","210,913","72,092.00","53,485.00",,,,,,,,"210,913.00",,"78,505.00","414,995.00"
Big Horn,RV PARKS AND RECREATIONAL CAMPS,7212,24.49361,"18,961","15,092","8,025.00","3,870.00",11,,,,,,,"15,092.00",44,"10,302.00","37,343.00"
Big Horn,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Big Horn,FULL-SERVICE RESTAURANTS,7221,,"201,390","160,848","6,320.00","40,542.00",475,,,,,,,"160,848.00","1,868.00","8,171.00","218,224.00"
Big Horn,LIMITED-SERVICE EATING PLACES,7222,,"66,358","52,955",,"13,403.00",28,,,,,,,"52,955.00",109,,"66,495.00"
Big Horn,SPECIAL FOOD SERVICES,7223,0,"19,057","15,227",30,"3,830.00",23,,,,,,,"15,227.00",90,45,"19,245.00"
Big Horn,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,39.75,"95,410","76,207",,"19,203.00",575,,,,,,,"76,207.00","2,254.00",,"98,238.00"
Big Horn,TOTAL,TOTAL,,"5,269,888","4,207,728","88,856.00","1,062,160.00","35,996.00",,,,,,,"4,207,728.00","143,274.00","100,347.00","5,638,360.00"
Campbell,AUTOMOBILE DEALERS,4411,164,"254,538","203,120",,"51,418.00",,,,,,,,"203,120.00",,,"254,538.00"
Campbell,OTHER MOTOR VEHICLE DEALERS,4412,51.5,"940,039","750,071",,"189,968.00",64,,,,,,,"750,071.00",254,,"940,357.00"
Campbell,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,220.4167,"6,294,037","5,026,645",,"1,267,392.00","11,586.00",,,,,,,"5,026,645.00","45,936.00",,"6,351,559.00"
Campbell,FURNITURE STORES,4421,,"339,368","270,856",,"68,512.00",146,,,,,,,"270,856.00",570,,"340,084.00"
Campbell,HOME FURNISHINGS STORES,4422,,"264,538","211,239",,"53,298.00","7,806.00",,,,,,,"211,239.00","30,853.00",,"303,196.00"
Campbell,ELECTRONICS AND APPLIANCE STORES,4431,,"1,348,950","1,077,175",,"271,775.00","13,537.00",,,,,,,"1,077,175.00","53,361.00",,"1,415,848.00"
Campbell,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,321.5833,"11,496,234","9,185,371",,"2,310,862.00","42,030.00",,,,,,,"9,185,371.00","167,231.00",,"11,705,494.00"
Campbell,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,108.1667,"1,379,857","1,101,688",,"278,169.00","3,260.00",,,,,,,"1,101,688.00","12,944.00",,"1,396,060.00"
Campbell,GROCERY STORES,4451,272.8333,"756,466","604,661",,"151,805.00","3,428.00",,,,,,,"604,661.00","13,677.00",,"773,571.00"
Campbell,SPECIALTY FOOD STORES,4452,40.32176,"211,220","168,452",,"42,768.00",15,,,,,,,"168,452.00",58,,"211,292.00"
Campbell,"BEER, WINE, AND LIQUOR STORES",4453,8.844845,"647,071","516,753",,"130,319.00",205,,,,,,,"516,753.00",818,,"648,094.00"
Campbell,HEALTH AND PERSONAL CARE STORES,4461,,"728,066","581,297",,"146,769.00",993,,,,,,,"581,297.00","3,934.00",,"732,992.00"
Campbell,GASOLINE STATIONS,4471,,"3,938,210","3,147,637",,"790,573.00","3,253.00",,,,,,,"3,147,637.00","12,885.00",,"3,954,348.00"
Campbell,CLOTHING STORES,4481,,"1,224,494","977,687",33,"246,809.00","1,766.00",-2,,,,,,"977,687.00","6,988.00",25,"1,233,306.00"
Campbell,SHOE STORES,4482,,"160,075","127,641",,"32,434.00",84,,,,,,,"127,641.00",331,,"160,490.00"
Campbell,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"101,077","80,624",,"20,453.00",29,,,,,,,"80,624.00",114,,"101,220.00"
Campbell,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"1,057,010","844,279",62,"212,731.00",808,,,,,,,"844,279.00","3,199.00",46,"1,061,126.00"
Campbell,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"35,617","28,429",,"7,188.00",50,,,,,,,"28,429.00",198,,"35,865.00"
Campbell,DEPARTMENT STORES,4521,,"39,848","31,858",,"7,990.00",1,,,,,,,"31,858.00",2,,"39,851.00"
Campbell,OTHER GENERAL MERCHANDISE STORES,4529,,"3,988,389","3,189,742",,"798,646.00","19,845.00",.,,,,,,"3,189,742.00","79,366.00",,"4,087,600.00"
Campbell,FLORISTS,4531,,"52,421","41,879",,"10,542.00",,,,,,,,"41,879.00",,,"52,421.00"
Campbell,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"425,906","339,756",33,"86,149.00",85,,,,,,,"339,756.00",332,25,"426,380.00"
Campbell,USED MERCHANDISE STORES,4533,,"122,693","97,876",,"24,817.00",,,,,,,,"97,876.00",,,"122,693.00"
Campbell,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"4,515,896","3,606,576",,"909,319.00","36,139.00",,,,,,,"3,606,576.00","143,943.00",,"4,695,977.00"
Campbell,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"8,285,298","6,620,534",,"1,664,734.00","13,714.00",30,,,,,,"6,620,534.00","54,549.00",,"8,353,562.00"
Campbell,VENDING MACHINE OPERATORS,4542,,"15,258","12,163",,"3,095.00",444,,,,,,,"12,163.00","1,743.00",,"17,445.00"
Campbell,DIRECT SELLING ESTABLISHMENTS,4543,,"2,121,473","1,696,043",,"425,430.00","34,489.00",,,,,,,"1,696,043.00","137,744.00",,"2,293,706.00"
Campbell,TRAVELER ACCOMMODATION,7211,413.7375,"1,301,940","1,038,678","1,004,626.00","263,262.00",191,,,,,,,"1,038,678.00",737,"751,896.00","3,059,390.00"
Campbell,RV PARKS AND RECREATIONAL CAMPS,7212,5.454595,"22,400","17,850","7,792.00","4,550.00",,,,,,,,"17,850.00",,"5,837.00","36,029.00"
Campbell,ROOMING AND BOARDING HOUSES,7213,1.224798,0,0,,,,,,,,,,,,,
Campbell,FULL-SERVICE RESTAURANTS,7221,,"2,640,827","2,107,653","34,845.00","533,175.00",533,,,,,,,"2,107,653.00","2,108.00","26,003.00","2,704,316.00"
Campbell,LIMITED-SERVICE EATING PLACES,7222,,"2,791,208","2,228,195",47,"563,012.00","1,120.00",,,,,,,"2,228,195.00","4,439.00",36,"2,796,850.00"
Campbell,SPECIAL FOOD SERVICES,7223,62.50448,"176,275","140,603",30,"35,672.00",254,,,,,,,"140,603.00",991,22,"177,572.00"
Campbell,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,151.4121,"621,575","496,182",,"125,392.00",27,,,,,,,"496,182.00",107,,"621,709.00"
Campbell,TOTAL,TOTAL,,"58,298,272","46,569,216","1,047,468.00","11,729,028.00","195,898.00",29,,,,,,"46,569,216.00","779,413.00","783,889.00","61,104,941.00"
Carbon,AUTOMOBILE DEALERS,4411,39.5,"76,613","50,796",,"12,909.00",145,"12,909.00",145,,,,,"50,796.00",565,,"77,467.00"
Carbon,OTHER MOTOR VEHICLE DEALERS,4412,0.274931,"23,836","15,812",179,"4,012.00",8,"4,012.00",8,,,,,"15,812.00",31,248,"24,311.00"
Carbon,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,29.0584,"621,041","412,298",,"104,372.00",378,"104,372.00",378,,,,,"412,298.00","1,485.00",,"623,281.00"
Carbon,FURNITURE STORES,4421,,"142,396","94,200",,"24,098.00",,"24,098.00",,,,,,"94,200.00",,,"142,396.00"
Carbon,HOME FURNISHINGS STORES,4422,,"55,661","36,949",,"9,357.00",969,"9,356.00",969,,,,,"36,949.00","3,789.00",,"61,389.00"
Carbon,ELECTRONICS AND APPLIANCE STORES,4431,,"390,641","259,593",,"65,524.00","4,505.00","65,524.00","4,505.00",,,,,"259,593.00","17,821.00",,"417,472.00"
Carbon,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,42.66667,"2,282,555","1,515,542",576,"383,512.00","7,569.00","383,501.00","7,569.00",,,,,"1,515,542.00","29,945.00",833,"2,329,048.00"
Carbon,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,29.66667,"304,690","202,799",,"50,946.00",80,"50,946.00",80,,,,,"202,799.00",317,,"305,167.00"
Carbon,GROCERY STORES,4451,124.5202,"281,224","186,553","4,319.00","47,336.00",37,"47,336.00",37,,,,,"186,553.00",147,"5,502.00","291,267.00"
Carbon,SPECIALTY FOOD STORES,4452,0,"41,613","27,561","1,091.00","7,026.00",,"7,026.00",,,,,,"27,561.00",,"1,417.00","44,122.00"
Carbon,"BEER, WINE, AND LIQUOR STORES",4453,8.313095,"290,703","192,437",.,"49,133.00",,"49,133.00",,,,,,"192,437.00",,,"290,703.00"
Carbon,HEALTH AND PERSONAL CARE STORES,4461,,"180,974","120,050",,"30,462.00",456,"30,461.00",456,,,,,"120,050.00","1,783.00",,"183,670.00"
Carbon,GASOLINE STATIONS,4471,,"1,960,199","1,305,391",237,"327,404.00","1,988.00","327,404.00","1,988.00",,,,,"1,305,391.00","7,922.00",344,"1,972,678.00"
Carbon,CLOTHING STORES,4481,,"156,297","103,787","2,058.00","26,255.00",147,"26,255.00",147,,,,,"103,787.00",584,"3,047.00","162,280.00"
Carbon,SHOE STORES,4482,,"5,264","3,488",,888,,888,,,,,,"3,488.00",,,"5,264.00"
Carbon,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"13,301","8,801",,"2,250.00",1,"2,250.00",1,,,,,"8,801.00",3,,"13,305.00"
Carbon,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"115,448","76,661","1,256.00","19,394.00",197,"19,394.00",197,,,,,"76,661.00",789,"1,850.00","119,737.00"
Carbon,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"13,836","9,177","1,315.00","2,330.00",9,"2,330.00",9,,,,,"9,177.00",36,"1,653.00","16,859.00"
Carbon,DEPARTMENT STORES,4521,,"15,410","10,264",,"2,573.00",,"2,573.00",,,,,,"10,264.00",,,"15,410.00"
Carbon,OTHER GENERAL MERCHANDISE STORES,4529,,"1,403,562","935,358",,"234,102.00","4,298.00","234,102.00","4,298.00",,,,,"935,358.00","17,188.00",,"1,429,347.00"
Carbon,FLORISTS,4531,,"3,629","2,418",,605,28,605,28,,,,,"2,418.00",113,,"3,799.00"
Carbon,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"155,897","103,515",204,"26,191.00",258,"26,191.00",258,,,,,"103,515.00","1,025.00",283,"157,925.00"
Carbon,USED MERCHANDISE STORES,4533,,"11,926","7,896",,"2,015.00",,"2,015.00",,,,,,"7,896.00",,,"11,926.00"
Carbon,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"781,204","524,709",,"132,489.00","6,692.00","124,006.00","6,692.00",,,,,"524,709.00","26,411.00",,"820,999.00"
Carbon,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"2,289,591","1,523,228",,"383,724.00","7,718.00","382,639.00","6,570.00",,,,,"1,523,228.00","30,801.00",,"2,334,681.00"
Carbon,VENDING MACHINE OPERATORS,4542,,"2,297","1,523",,387,,387,,,,,,"1,523.00",,,"2,297.00"
Carbon,DIRECT SELLING ESTABLISHMENTS,4543,,"793,188","528,395",,"132,397.00",835,"132,397.00",835,,,,,"528,395.00","3,336.00",,"798,195.00"
Carbon,TRAVELER ACCOMMODATION,7211,639.3822,"2,868,778","1,909,832","914,610.00","479,473.00","12,508.00","479,473.00","12,508.00",,,,,"1,909,832.00","49,673.00","1,223,850.00","5,081,928.00"
Carbon,RV PARKS AND RECREATIONAL CAMPS,7212,83.53444,"45,161","30,051","14,796.00","7,555.00",,"7,555.00",,,,,,"30,051.00",,"19,977.00","79,933.00"
Carbon,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Carbon,FULL-SERVICE RESTAURANTS,7221,,"1,267,936","843,177","179,340.00","212,379.00","5,276.00","212,379.00","5,276.00",,,,,"843,177.00","21,082.00","251,839.00","1,730,749.00"
Carbon,LIMITED-SERVICE EATING PLACES,7222,,"850,102","564,953","3,054.00","142,574.00","1,062.00","142,574.00","1,062.00",,,,,"564,953.00","4,212.00","3,946.00","863,438.00"
Carbon,SPECIAL FOOD SERVICES,7223,4.411641,"12,592","8,375",389,"2,109.00",,"2,109.00",,,,,,"8,375.00",,590,"13,571.00"
Carbon,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,52.58828,"681,197","453,500","126,572.00","113,849.00","3,444.00","113,849.00","3,444.00",,,,,"453,500.00","13,757.00","178,553.00","1,006,966.00"
Carbon,TOTAL,TOTAL,,"18,138,765","12,069,089","1,249,995.00","3,039,629.00","58,609.00","3,030,047.00","57,461.00",,,,,"12,069,089.00","232,815.00","1,693,933.00","21,431,579.00"
Converse,AUTOMOBILE DEALERS,4411,0,"6,222","4,969",,"1,253.00",,,,,,,,"4,969.00",,,"6,222.00"
Converse,OTHER MOTOR VEHICLE DEALERS,4412,5.858587,"66,680","53,146",,"13,534.00",,,,,,,,"53,146.00",,,"66,680.00"
Converse,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,19.89141,"1,114,654","890,267",,"224,387.00",829,,,,,,,"890,267.00","3,308.00",,"1,118,790.00"
Converse,FURNITURE STORES,4421,,"48,401","38,666",,"9,735.00",126,,,,,,,"38,666.00",491,,"49,018.00"
Converse,HOME FURNISHINGS STORES,4422,,"27,219","21,737",,"5,482.00","2,693.00",,,,,,,"21,737.00","10,572.00",,"40,484.00"
Converse,ELECTRONICS AND APPLIANCE STORES,4431,,"471,813","376,740",,"95,073.00","2,381.00",,,,,,,"376,740.00","9,429.00",,"483,624.00"
Converse,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,26.07417,"4,263,075","3,405,235",,"857,839.00","36,526.00",,,,,,,"3,405,235.00","144,331.00",,"4,443,931.00"
Converse,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,41.75916,"1,874,916","1,498,353",,"376,564.00","3,190.00",,,,,,,"1,498,353.00","12,624.00",,"1,890,731.00"
Converse,GROCERY STORES,4451,101.1667,"362,013","288,944",827,"73,069.00","1,506.00",,,,,,,"288,944.00","5,994.00",789,"371,130.00"
Converse,SPECIALTY FOOD STORES,4452,1.125642,"18,894","15,073",,"3,822.00",,,,,,,,"15,073.00",,,"18,894.00"
Converse,"BEER, WINE, AND LIQUOR STORES",4453,29.70763,"173,722","138,736",,"34,986.00",,,,,,,,"138,736.00",,,"173,722.00"
Converse,HEALTH AND PERSONAL CARE STORES,4461,,"67,811","54,079",,"13,732.00",538,,,,,,,"54,079.00","2,111.00",,"70,461.00"
Converse,GASOLINE STATIONS,4471,,"4,073,334","3,257,902",,"815,432.00",170,,,,,,,"3,257,902.00",674,,"4,074,178.00"
Converse,CLOTHING STORES,4481,,"198,488","158,401",,"40,087.00",68,.,,,,,,"158,401.00",272,,"198,828.00"
Converse,SHOE STORES,4482,,"3,204","2,554",,649,1,,,,,,,"2,554.00",2,,"3,206.00"
Converse,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"18,401","14,662",,"3,739.00",2,,,,,,,"14,662.00",8,,"18,411.00"
Converse,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"82,969","66,216",927,"16,754.00",31,,,,,,,"66,216.00",121,898,"84,946.00"
Converse,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"9,313","7,434",,"1,880.00",8,,,,,,,"7,434.00",33,,"9,354.00"
Converse,DEPARTMENT STORES,4521,,"13,514","10,805",,"2,709.00",,,,,,,,"10,805.00",,,"13,514.00"
Converse,OTHER GENERAL MERCHANDISE STORES,4529,,"1,174,132","939,034",,"235,097.00","2,922.00",,,,,,,"939,034.00","11,676.00",,"1,188,730.00"
Converse,FLORISTS,4531,,"6,906","5,522",,"1,384.00",,,,,,,,"5,522.00",,,"6,906.00"
Converse,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"38,577","30,768",,"7,809.00",3,,,,,,,"30,768.00",12,,"38,592.00"
Converse,USED MERCHANDISE STORES,4533,,"7,431","5,935",,"1,496.00",,,,,,,,"5,935.00",,,"7,431.00"
Converse,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"2,810,226","2,245,610",,"564,616.00","5,360.00",,,,,,,"2,245,610.00","21,331.00",,"2,836,917.00"
Converse,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"4,317,624","3,450,795",,"866,825.00","6,105.00",4,,,,,,"3,450,795.00","24,014.00",,"4,347,744.00"
Converse,VENDING MACHINE OPERATORS,4542,,886,706,,179,,,,,,,,706,,,886
Converse,DIRECT SELLING ESTABLISHMENTS,4543,,"1,112,590","889,553",,"223,037.00",499,,,,,,,"889,553.00","1,988.00",,"1,115,076.00"
